NAME,KANTONSNUM
Ticino,CH21000000
Zug,CH09000000
Nidwalden,CH07000000
Schwyz,CH05000000
St. Gallen,CH17000000
Uri,CH04000000
Glarus,CH08000000
Vaud,CH22000000
Genève,CH25000000
Aargau,CH19000000
Valais,CH23000000
Obwalden,CH06000000
Solothurn,CH11000000
Neuchâtel,CH24000000
Basel-Landschaft,CH13000000
Schaffhausen,CH14000000
Fribourg,CH10000000
Luzern,CH03000000
Thurgau,CH20000000
Jura,CH26000000
Graubünden,CH18000000
Appenzell Ausserrhoden,CH15000000
Appenzell Innerrhoden,CH16000000
Basel-Stadt,CH12000000
Bern,CH02000000
Zürich,CH01000000
