slug,latitude,longitude,feature_type
tiger-duck-beach,46.518256,6.582546,l
villa-barton,46.22235,6.1525,l
parc-des-pierrettes,46.515215,6.575531,l
plage-de-st-sulpice,46.513265,6.570977,l
cabanes-des-diablerets,46.338604,7.215525,p
val-calanca,46.330718,9.120103,p
san-bernardino,46.445947,9.191344,p
airolo,46.514257,8.607884,p
nendaz,46.162099,7.283486,p
veysonnaz,46.180334,7.366005,p
andermatt,46.618327,8.598803,p
verbier,46.103981,7.22476,p
crans-montana,46.334214,7.479386,p
villars,46.321937,7.073841,p
les-crosets,46.183591,6.832916,p
morgins,46.236681,6.858132,p
la-berra,46.677399,7.178738,p
maladaire,46.446296,6.87696,l
preverenges,46.51269,6.527657,l
caprino,45.9879627,8.9862407,l
foce-del-cassarate,46.002411,8.961477,r
lido,46.0020045,8.9621558,l
lugano-centro,46.002627,8.950724,l
spiaggia-parco-ciani,46.00251,8.96082,l
via-brunari-spiaggia,46.20235,9.01691,r
golene-gudo,46.1706553,8.946657,r
isole-di-brissago-porto,46.13276,8.73503,l
magadino-lido,46.1493486,8.8556628,l
rivapiana,46.172079,8.813255,l
via-mirasole-spiaggia,46.19953,9.01493,r
aare-port,47.11617,7.26955,r
limmat_dietikon_keiserp,47.4079891,8.4095398,r
schutzenmatte,47.057666,7.634001,r
zugerseecholler_cham_blarerm,47.1782157,8.4800128,l
la-petite-plage,46.785054,6.656877,l
vidy-ruines,46.516221,6.596279,l
baby-plage-geneva,46.208558,6.162923,l
grand-clos,46.387746,6.843686,l
weissenau-neuhaus,46.676583,7.817528,l
evole-plage,46.989477,6.92392,l
oberi-chlihochstetten,46.896025,7.532114,r
plage-de-serriere,46.98485,6.91345,l
vierwaldstattersee_weggis_schoberls_1,47.0445321,8.4185689,l
vierwaldstattersee_weggis_schoberls_2,47.043953,8.4173076,l
vierwaldstattersee_weggis_schoberls_3,47.0299566,8.410801,l
mullermatte,47.133339,7.227907,l
limmat_unterengstringen_oggierbuhrer,47.4094003,8.4469334,r
limmat_zuerich_wagnerc,47.4034956,8.4777701,r
limmat_zurich_mortensena_meiera,47.4002515,8.485411,r
quai-maria-belgia,46.460156,6.836718,l
sihl_zuerich_eggerskoehlingera,47.3818981,8.5383279,r
bielersee_vinelz_fankhausers,47.0383984,7.1083114,l
erlach-camping-strand,47.047159,7.097854,l
anarchy-beach,46.447216,6.859612,l
gasi-strand,47.128442,9.110831,l
rastplatz-stampf,47.215177,8.844286,l
zuerichsee_richterswil_benkoem_2,47.2176458,8.6987133,l
sentiero-giro-del-golf-spiaggia,46.14577,8.79043,l
vira-gambarogno,46.143343,8.838759,l
canale-saleggi,46.2006245,9.015853,r
gummligrabbe,46.98929,7.25073,r
mannewil,46.996382,7.239024,r
lavey-les-bains-2,46.207726,7.011685,r
schusspark-strand,47.1465,7.26862,r
walensee_walenstadt_wysse,47.1218282,9.2995517,l
pfafikon-bad,47.206766,8.774182,l
zurichsee_kusnachterhorn_thirkell-whitej,47.3176849,8.5768602,l
plage-de-cheyres,46.818689,6.782256,l
leuk-mattenstrasse,46.3147545,7.6225205,r
thun-strandbad,46.739939,7.63352,l
zurichsee_wollishofen_langendorfm,47.3458899,8.5361545,l
pont-sous-terre,46.2029598,6.13157672,r
oben-am-see,46.74445107,8.0499211,l
thunersee_spiez_meierd_1,46.7044368,7.6578824,l
cully-plage,46.4888866,6.7413961,l
preverenges-le-sout,46.5089049,6.5345263,l
la-pecherie,46.4639187,6.3857321,l
untertenzen,47.11526,9.25478,l
zurcher-strand,47.3642,8.53742,l
oyonne,46.456682,6.852262,l
lavey-la-source,46.200804,7.021866,r
lavey-les-bains,46.2051587,7.012722,r
spackmatt,47.223749,7.576711,r
luscherz-plage,47.0479551,7.151242,l
strandboden-biel,47.13251,7.233142,l
jona-river-rastplatz,47.2161,8.84443,r
reuss_hunenberg_eberhardy,47.2329755,8.4010121,r
reuss_ottenbach_schoenenbergerl,47.2783545,8.3942242,r
zuerichsee_staefa_hennm,47.2346431,8.7698814,l
signalpain,46.7862,6.64736,l
baby-plage-ii-geneve,46.20894,6.16433,l
pointe-dareuse,46.94619,6.87097,l
les-glariers,46.176736,7.228925,r
nidau-strand,47.127196,7.232613,l
linthdammweg,47.13179,9.09191,r
mols-rocks,47.1143432,9.2881737,l
seeflechsen,47.1302229,9.1033996,l
seemuhlestrasse-strand,47.12864,9.2951,l
muhlehorn-dorf,47.118448,9.172124,l
zuerichsee_waedenswil_colomboc_1,47.2195468,8.6919611,l
camp-des-peches,47.052812,7.074053,l
delta-park,46.720078,7.635304,l
le-pierrier,46.439727,6.888968,l
pecos-plage,46.80359,6.63665,l
beich,47.048495,7.200528,r
aare_suhrespitz_badert,47.4056692,8.066018,r
tschilljus,46.304399,7.580262,r
sundbach-strand,46.684386,7.794768,l
wycheley,46.74037,8.04864,l
aare_koniz_hoppej,46.9345885,7.4581703,r
camping-gwatt-strand,46.72714,7.62962,l
bern-tiergarten,46.9331574,7.4520041,r
boiron,46.4910297,6.4801618,l
rocky-plage,46.20973675,6.16495237,l
lacleman_gland_lecoanets,46.4028106,6.2819586,l
route-13,46.162521,8.7825791,r
murg-bad,47.115307,9.215691,l
schmerikon-bahnhof-strand,47.22478,8.94418,l
aabach,47.220989,8.940365,l
la-thiele_le-mujon_confluence,46.77534,6.6309,r
nouvelle-plage,46.8566464,6.848428,l
baye-de-montreux-g,46.430834,6.908778,l
les-vieux-ronquoz,46.2220487,7.361664,r
sihl_zuerich_eichenbergerd,47.3395883,8.5166965,r
versoix,46.289194,6.1705693,l
augustmutzenbergstrandweg,46.68664,7.68976,l
aare_bern_gerberm,46.9893631,7.4520977,r
brugg-be-buren-bsg-standort,47.12222,7.28141,r
kusnachter-dorfbach-tobelweg-1-4,47.31777,8.588258,r
ruisseau-de-la-croix-plage,46.81392,6.7747,l
ligerz-strand,47.083979,7.135894,l
hafeli,46.6902834,7.8985922,l
aare-solothurn-lido-strand,47.196949,7.521643,r
bern-fahrstrasse,46.975866,7.44421,r
gals-reserve,47.0462719,7.0850075,l
ascona-traghetto-spiaggia,46.153882,8.76848,l
pacha-mama-gerra,46.123473,8.783508,l
gerra-gambarogno,46.123366,8.785786,l
san-nazzaro-gambarogno,46.130443,8.798657,l
hauterive-petite-plage,47.010797,6.980304,l
flibach-river-right-bank,47.133742,9.105461,l
aare-limmatspitz,47.50106,8.237371,r
aare_brugg_buchie,47.4948553,8.2365581,r
linth_route9brucke,47.12573,9.11734,r
seez_spennwiesenbrucke,47.114948,9.310123,r
bain-des-dames,46.4505068,6.8580918,l
luscherz-two,47.047519,7.1528292,l
impromptu_cudrefin,46.964496,7.027936,l
vira-spiaggia-left-of-river,46.1429,8.838407,l
linth_mollis,47.13137,9.094768,r
seez,47.11983,9.300251,r
tolochenaz,46.4975095,6.4828747,l
limmat_zuerich_suterdglauserp,47.3945393,8.5134435,r
aare_post,47.116665,7.271953,r
aare_bern_scheurerk,46.9709672,7.4525857,r
grindelwald,46.658523,8.065323,p
la-tzoumaz,46.144287,7.232897,p
la-robella,46.875905,6.548577,p
les-diablerets,46.346141,7.151228,p
charmey,46.622641,7.189341,p
monte-generoso,45.929625,9.019921,p
les-paccots,46.512592,6.949421,p
arabie,46.462099,6.834972,l
plage-de-dorigny,46.518169,6.583319,l
veveyse,46.461022,6.834983,l
baye-de-montreux-d,46.430962,6.908673,l
vidy,46.5147155,6.5985884,l
baye-de-clarens,46.439787,6.888903,l
pierrier-sud,46.4395601,6.8910001,l
jardin-botanique,46.2259088,6.1493572,l
le-port,46.452245,6.85518,l
strandbeiz,47.2158617,8.8430984,l
rolle-plage,46.4613,6.349739,l
saint-sulpice,46.507808,6.545344,l
greifensee_greifensee_simmenc,47.3635723,8.6756991,l
greifensee_uster_fischerb_-2,47.347436,8.6898805,l
greifensee_uster_fischerb_1,47.3501274,8.6897972,l
rhein_eglisau_gomringerp,47.5733159,8.5345847,r
sempachersee_sempach_tampec,47.1286181,8.1918737,l
zugersee_immensee_guedesd,47.1066869,8.4788812,l
langete_langenthal_geiserm,47.2165332,7.7923041,r
sihl_zurich_himmelhebern,47.3430554,8.5186122,r
sitter_stgallen_jennya,47.4102424,9.320376,r
zuerichsee_zurich_kullg,47.3539573,8.5504743,l
birs_reinach_dinuccin,47.5036817,7.6070085,r
vorderrhein_disentis_schmidn,46.6982739,8.8578373,r
emme_utzenstorf_gruttert,47.123696,7.539627,r
lacleman_vidy_santie,46.5183178,6.5896078,l
sihl_leimbach_kruegerm,47.3254361,8.5191195,r
zurichsee-feldeggstr-banningersand,47.3593922,8.5473682,l
rhein_basel_hungerbuehlern,47.5582176,7.6103488,r
birs_basel_laderachs,47.5460497,7.6225981,r
bodensee_arbon_moslis,47.5208887,9.431144,l
bodensee_steinach_dolder_a,47.5062992,9.4361714,l
glatt_oerlikon_covosn,47.4167691,8.566712,r
rhein-beach-tinguely,47.5586439,7.6121536,r
sihl_menzingen_kucharska_magdalena,47.1915012,8.6184214,r
sihl_zuerich_scherfs,47.3731495,8.5323698,r
sitter_gaiserwald_buehlerf,47.4251609,9.3401037,r
zulg_steffisburg_schmassmanne,46.7742431,7.6245372,r
sense_torishaus_g-cubes,46.8831206,7.3531889,r
jona_tann_nusslin,47.2684272,8.8641251,r
murg_waengi_strickerr,47.49361,8.9615928,r
zuerichsee_maennedorf_vanderkaadene,47.254754,8.6875038,l
arve_carouge_battistellak,46.1784912,6.1543187,r
lacleman_gland_kubela,46.4028693,6.2819358,l
sihl_adliswil_oggi_fort,47.3124217,8.5262549,r
rhein_hemishofen_stolll,47.6755236,8.8280292,r
aare_kehrsatz_stolten,46.9235719,7.4883011,r
limmat_zuerich_jansena,47.4000247,8.4846847,r
sitter_stgallen_steinbrunnerf,47.4332917,9.3580747,r
urnaesch_urnaesch_meierr,47.3250986,9.2954188,r
lorze_baar_blarere,47.1954019,8.540237,r
chriesbach_duebendorf_schneidera,47.4029195,8.6051458,r
birskopfli-rusco,47.5577429,7.6172916,r
emme_biberist_jennim,47.1692208,7.5589948,r
katzensee_regensdorfzuerichaffoltern_stueberj,47.4311281,8.4929243,l
aarezufluss_bern_scheurerk,46.9710097,7.4527897,r
aare_rupperswil_badert,47.410309,8.1125537,r
thur_schwarzenbach_meiliw,47.4467866,9.0638156,r
unterdsee_ermatingen_brunkem,47.6726333,9.0812462,l
aare_elfenau_cataldiv,46.9310201,7.4629605,r
bodensee_thal_schlachterj_1,47.4862163,9.5439099,l
goldach_goldach_schlachterj,47.4739111,9.4593094,r
pfaffner_rothrist_ischik,47.2985678,7.8994664,r
neuenburgersee_cudrefin_mattera,46.9627089,7.0259681,l
rhein_domatems_foppa_f,46.8380375,9.4476387,r
birs_basel_grunern,47.5511276,7.6221988,r
reuss_stkarli_linigersimhofy,47.0571118,8.2879145,r
toss_winterthur-2,47.4787073,8.7084264,r
toss_kollbrunn_burgid,47.4545698,8.77968,r
toss_bauma_kurthe,47.3701757,8.8678249,r
rhein_basel,47.5568018,7.6010856,r
greifensee_fallanden_meistery,47.3609381,8.6537228,l
aare_solothurn_nguyena,47.1977495,7.5242247,r
grendelbach_effretikon_dambonec,47.4256491,8.6907062,r
greifensee_maur_simmenc,47.3323864,8.6855146,l
sorne_birse_wwfjura,47.3709868,7.3609099,r
aare_bern_caveltin,46.9235788,7.4733191,r
ognonnaz-1,46.4599413,6.8591341,r
bodensee_horn_huberm,47.4982757,9.4569782,l
greifensee_fallanden_simmenc,47.3597141,8.6548433,l
reuss,47.3298691,8.3568493,r
la-morges,46.504063,6.494099,l
bodensee_altenrhein_caluoria,47.4865069,9.5439664,l
